symbol,entry,stop,target1,target2,status,lot
TUPRS.IS,243.1,226.44,259.76,276.42,OPEN,0
KCHOL.IS,190.2,174.98,205.42,220.64,OPEN,0
BIMAS.IS,392.75,361.61,423.89,455.03,OPEN,0
EREGL.IS,38.68,34.62,42.74,46.8,OPEN,0
SASA.IS,2.65,2.19,3.11,3.57,OPEN,0
SISE.IS,45.24,39.94,50.54,55.84,OPEN,0
THYAO.IS,288.0,269.36,306.64,325.28,OPEN,0
YKBNK.IS,32.86,29.58,36.14,39.42,OPEN,0
HEKTS.IS,3.84,3.06,4.62,5.4,OPEN,0
PETKM.IS,23.22,20.54,25.9,28.58,OPEN,0
TCELL.IS,106.5,98.04,114.96,123.42,OPEN,0
GARAN.IS,122.3,112.84,131.76,141.22,OPEN,0
